UID,title,speakers,presentation_id
16,On the role of effective and Referring questions in GuessWhat!?,Mauricio Mazuecos,38929756
2,Extending ImageNet to Arabic using Arabic WordNet,Abdulkareem Alsudais,38929757
6,Toward General Scene Graph: Integration of Visual Semantic Knowledge with Entity Synset Alignment,Woo Suk Choi,38929758
22,Latent Alignment of Procedural Concepts in Multimodal Recipes,Hossein Faghihi,38929759
15,Visual Question Generation from Radiology Images,Mourad Sarrouti,38929760
W901,Invited talk,Yoav Artzi,38929761
W902,Invited talk,JJ (Jingjing) Liu,38929762
W903,Invited talk,Louis-Philippe Morency,38929763
W904,Invited talk,Mark Riedl,38929764
W905,Invited talk,Lucia Specia,38929765
W906,Invited talk,Zhou Yu,38929766
