UID,title,speakers,presentation_id
W1701,Opening,Lun-Wei Ku,38929899
W1702,Managing Information and Debunking Misinformation in the Time of Covid-19,Pascale Fung,38929900
6,Enhancing Bias Detection in Political News using Pragmatic Presupposition,Lalitha Kameswari,38929901
13,Demoting Racial Bias in Hate Speech Detection,Mengzhou Xia,38929902
19,NARMADA: Need and Available Resource Managing Assistant for Disasters and Adversities,Sayan Sinha,38929903
18,BEEP! Korean Corpus of Online News Comments for Toxic Speech Detection,Jihyung Moon,38929904
7,Stance Prediction for Contemporary Issues: Data and Experiments,Marjan Hosseinia,38929905
W1703,EmotionGIF Challenge,Boaz Shmueli,38929906
1,Challenges in Emotion Style Transfer: An Exploration with a Lexical Substitution Pipeline,Roman Klinger,38929907
2,Incorporating Uncertain Segmentation Information into Chinese NER for Social Media Text,Shengbin Jia,38929908
15,Multi-Task Supervised Pretraining for Neural Domain Adaptation,Sara Meftah,38929909
W1704,Closing,Lun-Wei Ku,38929910
