UID,title,speakers,presentation_id
2,Towards Reversal-Based Textual Data Augmentation for NLI Problems with Opposable Classes,Alexey Tarasov,38929795
4,Neural Multi-task Text Normalization and Sanitization with Pointer-Generator,Hoang Nguyen and Sandro Cavallari,38929796
6,Answering Complex Questions by Combining Information from Curated and Extracted Knowledge Bases,"Nikita Bhutani, Xinyi Zheng, Kun Qian, Yunyao Li and H. Jagadish",38929797
7,Efficient Deployment of Conversational Natural Language Interfaces over Databases,"Anthony Colas, Trung Bui, Franck Dernoncourt, Moumita Sinha and Doo Soon Kim",38929798
8,A Multi-Modal Agent that Learns Concepts and Conditionals from Natural Language and Demonstrations,"Toby Jia-Jun Li, Marissa Radensky, Justin Jia, Kirielle Singarajah, Tom Mitchell and Brad Myers",38929799
9,Examination and Extension of Strategies for Improving Personalized Language Modeling via Interpolation,"Liqun Shao, Sahitya Mantravadi, Tom Manzini, Alejandro Buendia, Manon Knoertzer, Soundar Srinivasan and Chris Quirk",38929800
10,Unnatural Language Processing: Bridging the Gap Between Synthetic and Natural Language Data,"Alana Marzoev, Samuel Madden, M. Frans Kaashoek, Michael Cafarella and Jacob Andreas",38929801
W1101,Invited Talk 1,Joyce Chai,38929802
W1102,Invited Talk 2,H V Jagadish,38929803
W1103,Invited Talk 3,Monica S. Lam,38929804
W1104,Invited Talk 4,Percy Liang,38929805
W1105,Invited Talk 5,Luke Zettlemoyer,38929806
W1106,Invited Talk 6,Imed Zitouni,38929807
