UID,title,speakers,presentation_id
W1801,Baidu Simultaneous Translation: Research and Application,Hua Wu,38929911
W1802,Human Interpreter Training and Practice: Insights for Simultaneous Machine Translation Research,Barry Slaughter Olsen,38929912
W1803,Research and Practice of Simultaneous Machine Translation in Huawei Noah's Ark Lab,Qun Liu,38929913
W1804,Discussing Simultaneous Machine Translation,Jordan Boyd-Graber,38929914
W1805,Research Stories from Google Translate's Transcribe Mode,Colin Cherry,38929915
W1806,Machine-aided simultaneous interpreting: An experiment,Kay-Fan Cheung,38929916
6,Dynamic Sentence Boundary Detection for Simultaneous Translation,Ruiqing Zhang,38929917
7,End-to-End Speech Translation with Adversarial Training,Xuancai Li,38929918
4,Robust Neural Machine Translation with ASR Errors,Haiyang Xue,38929919
2,Improving Autoregressive NMT with Non-Autoregressive Model,Long Zhou,38929920
9,Modeling Discourse Structure for Document-level Neural Machine Translation,Junxuan Chen,38929921
5,BIT’s system for the AutoSimTrans 2020,Minqin Li,38929922
