UID,title,speakers,presentation_id
2,Rapidly Deploying a Neural Search Engine for the COVID-19 Open Research Dataset: Preliminary Thoughts and Lessons Learned,"Edwin Zhang, Nikhil Gupta, Rodrigo Nogueira, Kyunghyun Cho, Jimmy Lin",38929923
1,Measuring Emotions in the COVID-19 Real World Worry Dataset,"Bennett Kleinberg, Isabelle van der Vegt, Maximilian Mozes",38929924
3,Estimating the effect of COVID-19 on mental health: Linguistic indicators of depression during a global pandemic,JT Wolohan,38929925
5,Self-supervised context-aware Covid-19 document exploration through atlas grounding,"Dusan Grujicic, Gorjan Radevski, Tinne Tuytelaars, Matthew B. Blaschko",38929926
