UID,title,speakers,presentation_id
59,Using Social Media For Bitcoin Day Trading Behavior Prediction,Anna Paula Pawlicka Maule and Kristen Johnson,38929577
60,HausaMT v1.0: Towards English–Hausa Neural Machine Translation,Adewale Akinfaderin,38929578
61,Outcomes of coming out: Analyzing stories of LGBTQ+,Krithika Ramesh and Tanvi Anand,38929579
62,An Evaluation of Subword Segmentation Strategies for Neural Machine Translation of Morphologically Rich Languages,"Aquia Richburg, Ramy Eskander, Smaranda Muresan and Marine Carpuat",38929580
63,Audio-Visual Understanding of Passenger Intents for In-Cabin Conversational Agents,"Eda Okur, Shachi H Kumar, Saurav Sahay and Lama Nachman",38931265
65,Enhanced Urdu Word Segmentation using Conditional Random Fields and Morphological Context Features,"Aamir Farhan, Mashrukh Islam and Dipti Misra Sharma",38929582
66,Flexible Neural Text Generation via Insertion and Reordering Operations,Weijia Xu and Marine Carpuat,38929583
W0101,Keynote,Verena Rieser,38929584
W0102,Keynote,Rachel Tatman,38929585
W0103,Keynote,Jose Eduardo Ochoa Luna,38929586
W0104,Keynote,Helena Caseli,38929587
